iter	MultiClass
0	1.090920933
1	1.084259413
2	1.078193651
3	1.072129824
4	1.067227779
5	1.061273086
6	1.054363382
7	1.049485388
8	1.04340981
9	1.038061827
10	1.031966487
11	1.026273417
12	1.021207588
13	1.015187205
14	1.00985192
15	1.005913392
16	1.001591605
17	0.998419471
18	0.9945797603
19	0.9907746487
20	0.9862036202
21	0.9814140399
22	0.9788018433
23	0.9738624964
24	0.9692154301
25	0.9645290162
26	0.9608123148
27	0.9568690553
28	0.9520292366
29	0.9480421262
30	0.9452515135
31	0.9410509985
32	0.9376851565
33	0.934502105
34	0.93235557
35	0.9307471856
36	0.9269862217
37	0.9241602818
38	0.9204714472
39	0.9179682874
40	0.9160986719
41	0.9126153158
42	0.9104679326
43	0.9072097284
44	0.9038892378
45	0.9008950942
46	0.8987529535
47	0.8961688037
48	0.8935462695
49	0.892262169
50	0.890688913
51	0.8888510472
52	0.886957536
53	0.8853636836
54	0.8835518655
55	0.8817312348
56	0.8789492764
57	0.8769129164
58	0.8750021206
59	0.8736870183
60	0.8713708507
61	0.8690196174
62	0.865750024
63	0.8648004324
64	0.8633899786
65	0.8607611223
66	0.8595805934
67	0.8583521598
68	0.8562015453
69	0.8537965672
70	0.8526853566
71	0.8514757184
72	0.8493422176
73	0.8471956329
74	0.8455979251
75	0.8444118879
76	0.8427607887
77	0.8406108378
78	0.8382865372
79	0.8363564774
80	0.835174067
81	0.8327988616
82	0.831571787
83	0.830098623
84	0.8276822083
85	0.8266549012
86	0.8255978281
87	0.8247021969
88	0.8237709222
89	0.8225460897
90	0.8214067376
91	0.8199248485
92	0.8188396679
93	0.8166453425
94	0.8158222188
95	0.8137143738
96	0.8122707081
97	0.8090705766
98	0.8077021158
99	0.8057729963
100	0.8029598686
101	0.8012426677
102	0.80003255
103	0.7984354969
104	0.7972679751
105	0.7956637097
106	0.7934510811
107	0.7917095079
108	0.7899903618
109	0.7885220921
110	0.7873399164
111	0.7867767305
112	0.78567436
113	0.784027652
114	0.7825837643
115	0.7812474332
116	0.7801933248
117	0.7790302964
118	0.7783921555
119	0.7769186778
120	0.7759890312
121	0.7737606489
122	0.7719722353
123	0.7708081904
124	0.7691740802
125	0.7673468488
126	0.7652317945
127	0.7645077427
128	0.7629679361
129	0.7615831861
130	0.7592960972
131	0.7568266904
132	0.7552060513
133	0.7546871527
134	0.7517970096
135	0.7503726237
136	0.7489743853
137	0.7480445026
138	0.7463782403
139	0.7438011136
140	0.7431632843
141	0.7416870988
142	0.7408755903
143	0.7399526281
144	0.7377601566
145	0.7367128687
146	0.7348259154
147	0.7335467669
148	0.7327495734
149	0.7304429474
150	0.7296426683
151	0.7282870935
152	0.7271564522
153	0.7261009968
154	0.7238293995
155	0.723000305
156	0.7211606653
157	0.7190059172
158	0.7174508641
159	0.7154753412
160	0.7136823388
161	0.7117112134
162	0.7096083647
163	0.7081559578
164	0.7066620341
165	0.7049722429
166	0.7029154407
167	0.7016661173
168	0.7001632593
169	0.6995625526
170	0.6987604087
171	0.6972958847
172	0.696506532
173	0.6948196567
174	0.6927352563
175	0.6912975909
176	0.6895757365
177	0.6883579063
178	0.6870622279
179	0.6855749523
180	0.6846012507
181	0.6825750623
182	0.6805178343
183	0.6794340221
184	0.678229962
185	0.6757625957
186	0.6739028532
187	0.6723613149
188	0.6711129385
189	0.6703077082
190	0.6689138512
191	0.667408245
192	0.6657975396
193	0.6648094032
194	0.6632878529
195	0.6623688066
196	0.6611488782
197	0.6592455724
198	0.6579570517
199	0.6573697426
200	0.6556753333
201	0.6548784113
202	0.653673212
203	0.6525868913
204	0.6521120199
205	0.6516165832
206	0.6500605359
207	0.6485881572
208	0.6468723783
209	0.6454305003
210	0.6446415455
211	0.6438824898
212	0.6431640809
213	0.6419670596
214	0.6410605428
215	0.6396260911
216	0.6388875182
217	0.6378748386
218	0.6355077093
219	0.6347654168
220	0.6333467545
221	0.6323141022
222	0.6307550511
223	0.6297674382
224	0.6291796245
225	0.6275610945
226	0.6265138957
227	0.6253735022
228	0.6242994746
229	0.6232809269
230	0.621806886
231	0.6200385378
232	0.6191268839
233	0.6182701025
234	0.6168606313
235	0.6156878277
236	0.6140072045
237	0.6125060361
238	0.6120707449
239	0.6110794481
240	0.6101953438
241	0.6093624657
242	0.6084483733
243	0.6069774942
244	0.6063844227
245	0.6047325156
246	0.6039433407
247	0.6032448469
248	0.602065839
249	0.6004630284
