iter	Passed	Remaining
0	140	34908
1	145	18063
2	151	12445
3	156	9609
4	160	7852
5	164	6688
6	168	5847
7	172	5214
8	176	4734
9	180	4328
10	184	4016
11	188	3745
12	192	3504
13	195	3290
14	198	3105
15	201	2945
16	205	2813
17	208	2685
18	212	2585
19	216	2489
20	219	2394
21	223	2311
22	226	2237
23	230	2166
24	233	2097
25	236	2035
26	239	1978
27	243	1927
28	246	1875
29	248	1825
30	251	1775
31	254	1733
32	257	1690
33	259	1648
34	262	1610
35	264	1573
36	267	1541
37	270	1508
38	272	1476
39	275	1447
40	278	1417
41	281	1393
42	284	1367
43	287	1343
44	289	1320
45	292	1295
46	294	1273
47	297	1250
48	299	1229
49	302	1210
50	305	1191
51	308	1174
52	311	1156
53	313	1139
54	317	1124
55	319	1107
56	322	1090
57	324	1075
58	327	1059
59	330	1046
60	332	1031
61	336	1019
62	338	1006
63	341	992
64	345	982
65	347	969
66	350	957
67	353	945
68	356	933
69	358	923
70	361	912
71	364	901
72	367	891
73	370	880
74	373	870
75	375	860
76	378	850
77	381	840
78	383	830
79	386	821
80	389	813
81	392	804
82	395	794
83	397	786
84	400	777
85	403	768
86	405	759
87	408	751
88	411	743
89	413	735
90	416	728
91	419	719
92	421	711
93	424	703
94	426	696
95	429	688
96	431	681
97	434	674
98	437	666
99	439	659
100	442	652
101	444	645
102	447	638
103	450	632
104	452	625
105	455	618
106	458	612
107	460	605
108	463	599
109	466	593
110	468	586
111	470	580
112	473	574
113	475	567
114	478	561
115	481	555
116	483	549
117	486	543
118	488	537
119	490	531
120	493	526
121	496	520
122	498	515
123	501	510
124	504	504
125	507	499
126	509	493
127	512	488
128	514	483
129	517	477
130	520	472
131	522	467
132	525	462
133	528	457
134	530	452
135	533	447
136	536	442
137	538	437
138	541	432
139	544	427
140	547	423
141	550	418
142	553	413
143	555	409
144	558	404
145	561	400
146	564	395
147	567	391
148	569	386
149	572	381
150	574	376
151	577	372
152	580	367
153	582	363
154	585	358
155	588	354
156	591	350
157	593	345
158	596	341
159	599	337
160	602	332
161	605	328
162	607	324
163	610	320
164	613	315
165	615	311
166	618	307
167	621	303
168	623	298
169	626	294
170	628	290
171	631	286
172	633	282
173	636	277
174	639	273
175	642	270
176	645	266
177	647	261
178	650	258
179	653	254
180	656	250
181	658	246
182	661	242
183	664	238
184	666	234
185	669	230
186	672	226
187	674	222
188	677	218
189	680	214
190	683	211
191	685	207
192	688	203
193	691	199
194	693	195
195	696	191
196	699	188
197	701	184
198	704	180
199	707	176
200	709	173
201	712	169
202	715	165
203	717	161
204	720	158
205	722	154
206	725	150
207	728	147
208	731	143
209	734	139
210	737	136
211	739	132
212	742	128
213	745	125
214	747	121
215	750	118
216	753	114
217	756	111
218	758	107
219	761	103
220	764	100
221	767	96
222	770	93
223	772	89
224	775	86
225	778	82
226	780	79
227	783	75
228	786	72
229	788	68
230	792	65
231	794	61
232	797	58
233	800	54
234	802	51
235	805	47
236	808	44
237	811	40
238	814	37
239	817	34
240	820	30
241	823	27
242	825	23
243	828	20
244	830	16
245	833	13
246	836	10
247	839	6
248	842	3
249	845	0
